IDs         length   Exptl.  resolution  R-factor FreeRvalue
3QQ9C       218      XRAY        1.640    0.17    0.22
3T65A       219      XRAY        1.450    0.20    0.21
2ZNWB       242      XRAY        2.710    0.20    0.25
3S96B       218      XRAY        1.900    0.19    0.26
2DQFD       107      XRAY        2.500    0.22    0.27
2AP2A       115      XRAY        2.400    0.22    0.27
3RKDC       214      XRAY        1.900    0.19    0.22
1RJLA       212      XRAY        2.600    0.19    0.23
1KTRL       116      XRAY        2.700    0.19    0.22
2FX8O       214      XRAY        2.200    0.23    0.28
1MCSB       216      XRAY        2.700    0.18    1.00
3GGWC       219      XRAY        1.700    0.20    0.24
1CBVL       219      XRAY        2.660    0.19    1.00
2VQ1A       217      XRAY        2.500    0.21    0.26
3KDML       218      XRAY        1.500    0.18    0.21
3BAEL       218      XRAY        1.590    0.21    0.25
1HQ4A       215      XRAY        2.700    0.23    0.27
1ZA6G       220      XRAY        2.800    0.25    0.30
3QG6L       218      XRAY        2.500    0.19    0.24
1GGBL       215      XRAY        2.800    0.20    1.00
3D0VA       214      XRAY        2.050    0.22    0.23
1XF3A       214      XRAY        2.300    0.21    0.24
3MLXL       211      XRAY        1.900    0.19    0.23
2DD8L       213      XRAY        2.300    0.20    0.26
1NDMA       214      XRAY        2.100    0.21    0.26
1NMCC       109      XRAY        2.500    0.22    0.26
3I9GL       213      XRAY        1.900    0.19    0.22
2EKSA       107      XRAY        2.000    0.22    0.27
3C6SC       219      XRAY        1.800    0.19    0.25
2R0ZL       219      XRAY        2.100    0.20    0.26
3IJSC       219      XRAY        2.550    0.22    0.26
3CVIL       209      XRAY        1.800    0.22    0.26
3KS0J       214      XRAY        2.700    0.22    0.29
3O6LL       219      XRAY        2.100    0.19    0.23
3ESVF       252      XRAY        2.000    0.19    0.23
2UYLX       219      XRAY        2.500    0.21    0.26
2AGJL       215      XRAY        2.600    0.23    0.28
3QPQE       215      XRAY        1.900    0.20    0.26
2W0KB       111      XRAY        2.350    0.21    0.24
3IU4L       213      XRAY        1.750    0.20    0.23
2HG5B       212      XRAY        2.750    0.24    0.27
1NGPL       215      XRAY        2.400    0.20    0.25
1KCSL       214      XRAY        2.500    0.21    0.28
1BWWB       109      XRAY        1.700    0.18    0.22
1M71A       215      XRAY        2.800    0.22    0.29
1RIHL       214      XRAY        2.500    0.18    0.24
1CD0B       111      XRAY        1.900    0.18    0.24
4AEHL       214      XRAY        1.600    0.18    0.21
1GHFL       211      XRAY        2.700    0.21    1.00
1OAXM       110      XRAY        2.670    0.24    0.28
3L7FA       214      XRAY        2.600    0.21    0.24
2B1AL       215      XRAY        2.350    0.21    0.24
2AI0M       217      XRAY        2.200    0.23    0.28
3I2CL       218      XRAY        2.800    0.20    0.23
1P2CD       212      XRAY        2.000    0.20    0.24
3GBMM       221      XRAY        2.700    0.21    0.26
1MCCA       216      XRAY        2.700    0.20    1.00
2FX8M       214      XRAY        2.200    0.23    0.28
3BD5A       112      XRAY        2.000    0.22    0.28
2FJFO       214      XRAY        2.650    0.20    0.25
1U8NA       214      XRAY        2.560    0.20    0.23
1IC5L       107      XRAY        2.300    0.17    0.25
2H9GA       214      XRAY        2.320    0.23    0.28
1MJ7L       219      XRAY        2.250    0.20    0.30
1UA6L       107      XRAY        1.900    0.23    0.27
1DQQA       214      XRAY        1.800    0.21    0.26
3FO1L       219      XRAY        2.200    0.23    0.28
2B1HL       215      XRAY        2.000    0.21    0.24
3NL4L       213      XRAY        1.540    0.23    0.29
1OCWL       120      XRAY        2.000    0.27    0.29
1PEWB       109      XRAY        1.600    0.29    0.27
1MPAL       219      XRAY        2.600    0.19    0.31
2DQTL       219      XRAY        1.800    0.19    0.25
2NYYC       218      XRAY        2.610    0.21    0.25
1TJHL       214      XRAY        2.100    0.20    0.23
4DCQA       218      XRAY        1.940    0.19    0.25
2OQJA       211      XRAY        2.800    0.24    0.28
1H3PL       240      XRAY        2.600    0.21    0.29
2W0LD       111      XRAY        2.200    0.21    0.24
3BKML       252      XRAY        1.600    0.22    0.23
1NBVL       219      XRAY        2.000    0.25    1.00
1NCBL       214      XRAY        2.500    0.17    1.00
1CT8C       214      XRAY        2.200    0.21    0.28
3QHFL       217      XRAY        1.660    0.18    0.21
2C1OL       254      XRAY        2.750    0.22    0.30
3MLTG       219      XRAY        2.490    0.21    0.28
1A7QL       106      XRAY        2.000    0.18    1.00
3AUVE       276      XRAY        2.400    0.22    0.25
1CE1L       211      XRAY        1.900    0.22    0.27
1BLNC       214      XRAY        2.800    0.21    0.29
1RU9L       219      XRAY        2.500    0.19    0.25
3NPSC       211      XRAY        1.500    0.19    0.23
1AD9A       219      XRAY        2.800    0.23    0.28
1ZLSL       211      XRAY        2.000    0.28    0.33
2A6JA       214      XRAY        2.700    0.23    0.27
1CLYL       219      XRAY        2.500    0.24    0.30
3GJFK       212      XRAY        1.900    0.20    0.25
1U93A       214      XRAY        2.370    0.24    0.23
1VFBA       107      XRAY        1.800    0.18    1.00
3EFDL       211      XRAY        2.600    0.23    0.28
1JPSL       214      XRAY        1.850    0.20    0.22
1MRCL       219      XRAY        2.400    0.19    1.00
3OAUL       212      XRAY        1.900    0.21    0.24
3NGBL       210      XRAY        2.680    0.20    0.26
2VDKL       214      XRAY        2.800    0.16    0.20
3U1SL       239      XRAY        2.300    0.20    0.23
1OAUL       110      XRAY        1.800    0.23    0.26
2HFFA       214      XRAY        1.950    0.19    0.22
3ET9F       252      XRAY        2.800    0.22    0.26
3Q3GA       220      XRAY        2.700    0.21    0.24
1MJ8L       219      XRAY        1.750    0.15    0.22
2BX5C       107      XRAY        2.700    0.25    0.29
1MNUL       219      XRAY        2.500    0.23    0.27
3MA9L       213      XRAY        2.050    0.19    0.24
1AP2C       113      XRAY        2.360    0.20    0.28
2AJ3E       213      XRAY        2.030    0.23    0.27
1IQDA       211      XRAY        2.000    0.20    0.25
1ETZL       215      XRAY        2.600    0.21    0.29
1LILB       212      XRAY        2.650    0.20    0.34
1TZGL       214      XRAY        2.200    0.22    0.26
2YKLL       216      XRAY        2.100    0.22    0.27
1Q0YL       212      XRAY        2.000    0.19    0.24
1RZ8C       214      XRAY        2.300    0.21    0.26
1GGCL       215      XRAY        2.800    0.19    1.00
1MCPL       220      XRAY        2.700    0.23    1.00
2AJ3C       213      XRAY        2.030    0.23    0.27
2XA8L       218      XRAY        2.420    0.22    0.27
3D0LA       214      XRAY        2.350    0.21    0.23
2NY4C       214      XRAY        2.000    0.20    0.24
3O11L       212      XRAY        2.800    0.22    0.30
3U30B       214      XRAY        2.430    0.23    0.26
2VL5B       218      XRAY        2.100    0.22    0.29
1PG7W       210      XRAY        2.500    0.22    0.27
1DQQC       214      XRAY        1.800    0.21    0.26
2C1OA       254      XRAY        2.750    0.22    0.30
3F58L       215      XRAY        2.800    0.20    1.00
1FL3L       214      XRAY        2.450    0.10    0.26
1XGQA       215      XRAY        2.100    0.23    0.28
3L5YL       213      XRAY        2.800    0.21    0.27
3NH7O       213      XRAY        2.700    0.24    0.28
3CFKC       216      XRAY        2.600    0.22    0.24
1SY6L       213      XRAY        2.100    0.21    0.26
1T3FA       214      XRAY        2.000    0.17    0.22
1NGXL       213      XRAY        1.800    0.23    0.25
1MCJA       216      XRAY        2.700    0.19    1.00
1IGJC       219      XRAY        2.500    0.18    1.00
3SGDL       219      XRAY        2.310    0.18    0.23
1NBZA       214      XRAY        1.850    0.23    0.23
1YYML       214      XRAY        2.200    0.21    0.27
3LEXL       219      XRAY        1.970    0.17    0.20
3OKKA       220      XRAY        1.950    0.20    0.23
2R1XA       219      XRAY        1.600    0.22    0.24
1HI6A       214      XRAY        2.550    0.28    0.33
3BT2L       212      XRAY        2.500    0.23    0.27
2OMNB       217      XRAY        2.200    0.23    0.28
3S37L       214      XRAY        2.700    0.28    0.32
2WUCL       214      XRAY        2.700    0.23    0.27
8FABA       212      XRAY        1.800    0.17    1.00
1DQJA       214      XRAY        2.000    0.22    0.25
2BX5F       107      XRAY        2.700    0.25    0.29
2B2XL       213      XRAY        2.200    0.24    0.27
3BKCL       252      XRAY        1.900    0.20    0.24
3QPQL       215      XRAY        1.900    0.20    0.26
3HNTL       214      XRAY        1.800    0.20    0.26
1B0WA       108      XRAY        1.800    0.23    0.30
1I8IA       107      XRAY        2.400    0.18    0.26
4LVEB       114      XRAY        2.300    0.19    0.27
43C9E       113      XRAY        2.200    0.21    0.27
1IGFL       219      XRAY        2.800    0.18    1.00
3MCKL       219      XRAY        2.300    0.20    0.25
2AABL       218      XRAY        2.500    0.24    0.30
1SEQL       213      XRAY        1.780    0.19    0.23
3BDXB       111      XRAY        2.300    0.20    0.25
1KN4L       219      XRAY        1.900    0.21    0.25
1PG7M       213      XRAY        2.500    0.22    0.27
1G9ML       214      XRAY        2.200    0.27    0.33
3B2UX       213      XRAY        2.580    0.23    0.29
1Q1JL       215      XRAY        2.500    0.25    0.28
2HFGL       214      XRAY        2.610    0.20    0.25
1G7IA       107      XRAY        1.800    0.19    0.25
4BJLB       216      XRAY        2.400    0.15    1.00
2NY2C       214      XRAY        2.000    0.20    0.22
1NQBC       256      XRAY        2.000    0.19    0.23
3BN9C       214      XRAY        2.170    0.23    0.27
1FDLL       214      XRAY        2.500    0.18    1.00
3EYFC       216      XRAY        2.300    0.21    0.23
1E4WL       214      XRAY        1.950    0.20    0.27
3QOTL       221      XRAY        1.900    0.20    0.25
1UWEX       213      XRAY        2.670    0.22    0.27
4FABL       219      XRAY        2.700    0.21    1.00
2AP2C       115      XRAY        2.400    0.22    0.27
1A6TC       210      XRAY        2.700    0.17    0.27
1I7ZA       219      XRAY        2.300    0.22    0.27
3KYMG       214      XRAY        2.620    0.27    0.34
3BD4A       112      XRAY        2.400    0.21    0.28
1MCIB       216      XRAY        2.700    0.18    1.00
2I60Q       214      XRAY        2.400    0.21    0.28
1FLRL       219      XRAY        1.850    0.19    1.00
3STLB       212      XRAY        2.400    0.23    0.26
2Q8BL       214      XRAY        2.300    0.21    0.26
3PGFL       215      XRAY        2.100    0.18    0.23
3CXDL       213      XRAY        2.800    0.25    0.29
1DQML       214      XRAY        2.100    0.23    0.27
1EEQB       114      XRAY        1.500    0.21    0.24
1QACB       114      XRAY        1.800    0.19    0.23
1LO0L       219      XRAY        2.000    0.21    0.26
2W65B       217      XRAY        2.210    0.24    0.28
3RVTC       213      XRAY        2.050    0.20    0.23
3MOBL       214      XRAY        2.600    0.20    0.24
1OARM       110      XRAY        2.230    0.20    0.24
3LRGB       121      XRAY        2.050    0.17    0.20
3EYSL       219      XRAY        1.950    0.21    0.26
3OAYL       213      XRAY        1.950    0.18    0.22
3R06C       213      XRAY        2.500    0.19    0.24
2OR9M       218      XRAY        2.700    0.25    0.31
1MCIA       216      XRAY        2.700    0.18    1.00
2OLDB       217      XRAY        2.600    0.22    0.25
1NJ9L       212      XRAY        2.350    0.20    0.28
1IFHL       218      XRAY        2.800    0.17    1.00
3NIDF       214      XRAY        2.300    0.18    0.21
3QWOB       213      XRAY        1.900    0.19    0.23
3LRHE       121      XRAY        2.600    0.22    0.28
1CK0L       216      XRAY        2.500    0.19    0.29
2VDRL       214      XRAY        2.400    0.15    0.19
1NCWL       219      XRAY        1.300    0.16    0.21
3LRHA       121      XRAY        2.600    0.22    0.28
1RIUL       218      XRAY        2.000    0.18    0.21
3D9AL       213      XRAY        1.200    0.19    0.20
1CICA       214      XRAY        2.500    0.18    1.00
2GJZA       217      XRAY        2.650    0.21    0.25
1H8SB       252      XRAY        2.400    0.20    0.27
3L5WL       214      XRAY        2.000    0.21    0.25
1S5IL       219      XRAY        2.700    0.20    0.28
2G2RL       219      XRAY        2.750    0.20    0.25
2XZQL       211      XRAY        2.400    0.24    0.25
1HILC       217      XRAY        2.000    0.20    1.00
2BX5A       107      XRAY        2.700    0.25    0.29
2HRPM       218      XRAY        2.200    0.20    0.29
1MFEL       215      XRAY        2.000    0.18    1.00
2V7HA       214      XRAY        2.800    0.24    0.27
1H8OB       252      XRAY        2.750    0.18    0.26
1XGYM       216      XRAY        2.710    0.28    0.27
3HC4L       213      XRAY        1.620    0.16    0.18
3UX9D       256      XRAY        2.800    0.19    0.24
2IPTL       219      XRAY        2.000    0.18    0.22
4AEIL       219      XRAY        2.300    0.20    0.25
3UTZE       219      XRAY        2.180    0.23    0.29
3FO2L       219      XRAY        2.180    0.20    0.26
1DSFL       112      XRAY        2.000    0.18    1.00
3FZUD       214      XRAY        2.500    0.21    0.26
1HZHL       215      XRAY        2.700    0.23    0.27
1F3DL       219      XRAY        1.870    0.20    0.22
2GHWB       247      XRAY        2.300    0.25    0.29
3CDYA       109      XRAY        2.430    0.19    0.26
2A9MM       110      XRAY        2.100    0.21    0.26
3CFKJ       216      XRAY        2.600    0.22    0.24
3I02C       219      XRAY        2.600    0.21    0.27
1MCFA       216      XRAY        2.700    0.19    1.00
1BFVL       113      XRAY        2.100    0.19    0.27
1NGWL       213      XRAY        2.600    0.28    0.32
1LHZA       216      XRAY        2.300    0.17    0.23
3L5XL       214      XRAY        1.900    0.21    0.25
3NZ8B       218      XRAY        2.700    0.23    0.27
1AY1L       210      XRAY        2.200    0.20    0.29
1UWGL       213      XRAY        2.790    0.21    0.28
1F6LL       114      XRAY        2.800    0.19    0.26
3NGBF       210      XRAY        2.680    0.20    0.26
1Q9WC       219      XRAY        1.750    0.21    0.25
3DVFA       107      XRAY        1.800    0.20    0.27
3DVNL       217      XRAY        2.700    0.22    0.27
3GK8L       214      XRAY        2.000    0.27    0.31
3QPQC       215      XRAY        1.900    0.20    0.26
1ZANL       214      XRAY        1.700    0.20    0.24
1MCBB       216      XRAY        2.700    0.20    1.00
1UZ6L       218      XRAY        2.050    0.20    0.24
1KFAL       217      XRAY        2.800    0.24    0.31
1KEML       217      XRAY        2.200    0.18    0.29
3KYMK       214      XRAY        2.620    0.27    0.34
1JV5A       107      XRAY        2.200    0.24    0.22
1P84K       107      XRAY        2.500    0.23    0.25
1JGVL       220      XRAY        1.850    0.21    0.25
1QOKA       282      XRAY        2.400    0.20    0.27
2XKNA       223      XRAY        1.400    0.14    0.18
3IJSA       219      XRAY        2.550    0.22    0.26
3QPXL       213      XRAY        2.000    0.23    0.26
1U92A       214      XRAY        2.240    0.23    0.25
2QQNL       214      XRAY        2.200    0.16    0.21
1NMBL       109      XRAY        2.200    0.21    1.00
1F8TL       219      XRAY        2.200    0.17    0.22
2CMRL       208      XRAY        2.000    0.21    0.26
1TQCC       219      XRAY        2.800    0.23    0.29
1KEGL       216      XRAY        2.400    0.21    0.27
2FX8L       214      XRAY        2.200    0.23    0.28
2ADIA       214      XRAY        2.800    0.27    0.27
1H0DA       216      XRAY        2.000    0.23    0.27
3DVIA       109      XRAY        1.530    0.19    0.25
1PZ5A       215      XRAY        1.800    0.22    0.25
1I3GL       111      XRAY        2.440    0.17    0.24
3NGBC       210      XRAY        2.680    0.20    0.26
1XGTA       215      XRAY        2.100    0.25    0.29
3HZMA       219      XRAY        1.800    0.21    0.25
35C8L       212      XRAY        2.000    0.21    0.26
1WEJL       214      XRAY        1.800    0.20    0.26
2QSCL       215      XRAY        2.800    0.22    0.26
1F90L       219      XRAY        2.600    0.17    0.24
2NXZC       214      XRAY        2.040    0.21    0.24
2AK1L       216      XRAY        1.850    0.22    0.24
2IQAL       219      XRAY        2.000    0.23    0.28
1OAYM       110      XRAY        2.660    0.23    0.28
2FX7L       214      XRAY        1.760    0.21    0.22
1KELL       217      XRAY        1.900    0.20    0.26
3LRHI       121      XRAY        2.600    0.22    0.28
2DDQL       218      XRAY        2.350    0.23    0.26
1ZWIB       212      XRAY        2.500    0.26    0.26
2P8MA       214      XRAY        2.700    0.22    0.24
2R0WL       219      XRAY        2.500    0.21    0.28
1FJ1A       213      XRAY        2.680    0.23    0.28
1EHLL       217      XRAY        2.400    0.20    0.28
2ZPKL       212      XRAY        1.800    0.17    0.20
1A8JH       216      XRAY        2.700    0.22    0.38
1FVEA       214      XRAY        2.700    0.17    1.00
2OQJJ       211      XRAY        2.800    0.24    0.28
1CZ8L       213      XRAY        2.400    0.21    0.27
1ZLVL       211      XRAY        2.330    0.21    0.25
1UB5B       214      XRAY        2.000    0.25    0.27
4D9QL       213      XRAY        2.280    0.19    0.23
2R1YA       219      XRAY        1.600    0.23    0.26
3IXTB       213      XRAY        2.750    0.22    0.27
1NAKL       219      XRAY        2.570    0.29    0.33
1IQWL       218      XRAY        2.500    0.17    0.24
1LO3L       219      XRAY        2.300    0.21    0.26
1XGPA       215      XRAY        2.100    0.21    0.27
1BREE       108      XRAY        2.000    0.22    0.34
3U7WL       210      XRAY        2.600    0.19    0.24
1RZGB       214      XRAY        2.000    0.20    0.25
1MLBA       214      XRAY        2.100    0.18    0.27
3NTCL       219      XRAY        1.550    0.18    0.22
3GHBL       216      XRAY        2.250    0.20    0.23
2J4WL       213      XRAY        2.500    0.19    0.24
1ND0A       219      XRAY        2.450    0.24    0.29
1DQLL       106      XRAY        2.600    0.19    0.26
3QCVL       218      XRAY        2.510    0.22    0.27
2XQYL       220      XRAY        2.050    0.19    0.20
3PP3K       219      XRAY        2.510    0.21    0.27
1UM6L       219      XRAY        1.800    0.23    0.26
3CFKE       216      XRAY        2.600    0.22    0.24
2DLFL       113      XRAY        1.550    0.18    0.23
2A6IA       214      XRAY        2.500    0.25    0.26
3O2DL       219      XRAY        2.190    0.19    0.22
1AD9L       219      XRAY        2.800    0.23    0.28
3QNXA       219      XRAY        2.200    0.18    0.22
3BZ4E       219      XRAY        1.800    0.18    0.23
43C9C       113      XRAY        2.200    0.21    0.27
3NIGL       214      XRAY        2.250    0.17    0.21
3LZFL       217      XRAY        2.800    0.23    0.26
2BMKA       213      XRAY        2.300    0.21    0.27
5LVEA       114      XRAY        2.000    0.19    0.22
1MCEA       216      XRAY        2.700    0.19    1.00
3AUVA       276      XRAY        2.400    0.22    0.25
1FN4A       211      XRAY        2.800    0.20    0.29
3IDNA       214      XRAY        2.250    0.22    0.24
2HVJB       212      XRAY        2.750    0.22    0.25
3I75A       212      XRAY        1.950    0.18    0.21
3QCTL       218      XRAY        2.150    0.24    0.29
3SY0A       219      XRAY        1.490    0.19    0.21
3KYMI       214      XRAY        2.620    0.27    0.34
2I60L       214      XRAY        2.400    0.21    0.28
1QBLL       214      XRAY        2.260    0.19    0.28
3SOBL       237      XRAY        1.900    0.18    0.21
1MFCL       215      XRAY        2.100    0.16    1.00
3B2UU       213      XRAY        2.580    0.23    0.29
1F3DJ       219      XRAY        1.870    0.20    0.22
2XWTB       214      XRAY        1.900    0.18    0.23
2A1WL       216      XRAY        2.700    0.19    0.25
3EYOC       216      XRAY        2.500    0.24    0.27
1SM3L       215      XRAY        1.950    0.21    0.28
2GK0A       217      XRAY        2.450    0.24    0.26
1MAML       214      XRAY        2.450    0.21    1.00
1BJ1L       214      XRAY        2.400    0.20    0.27
1T4KC       217      XRAY        2.500    0.23    0.28
2I5YL       214      XRAY        2.200    0.21    0.27
1FORL       210      XRAY        2.750    0.17    1.00
1IGTA       214      XRAY        2.800    0.21    0.30
1MCHA       216      XRAY        2.700    0.25    1.00
4D9RD       214      XRAY        2.420    0.21    0.25
3IFOL       219      XRAY        2.150    0.17    0.22
3H3PL       114      XRAY        2.700    0.23    0.29
1HILA       217      XRAY        2.000    0.20    1.00
2V7HL       214      XRAY        2.800    0.24    0.27
3L7FL       214      XRAY        2.600    0.21    0.24
3O2VL       219      XRAY        2.300    0.19    0.22
3QG6A       218      XRAY        2.500    0.19    0.24
3QCUL       218      XRAY        1.980    0.22    0.25
2ORBM       218      XRAY        2.200    0.26    0.32
3CFDL       214      XRAY        2.500    0.21    0.24
2HVKB       212      XRAY        1.900    0.23    0.24
2AJUL       216      XRAY        1.500    0.18    0.23
1Q72L       218      XRAY        1.700    0.22    0.25
1A0QL       212      XRAY        2.300    0.20    0.28
1LO4L       217      XRAY        2.400    0.24    0.31
3MUGK       216      XRAY        2.490    0.21    0.25
3IDJA       214      XRAY        2.240    0.23    0.23
2HRPL       218      XRAY        2.200    0.20    0.29
1NMCL       109      XRAY        2.500    0.22    0.26
3S35L       217      XRAY        2.200    0.21    0.26
2VQ1E       217      XRAY        2.500    0.21    0.26
2IMNA       113      XRAY        1.970    0.15    1.00
1JGLL       214      XRAY        2.150    0.20    0.25
1MCNA       216      XRAY        2.700    0.18    1.00
3S96D       218      XRAY        1.900    0.19    0.26
3IKCA       218      XRAY        2.600    0.24    0.29
2PW2A       214      XRAY        2.550    0.22    0.24
1OARO       110      XRAY        2.230    0.20    0.24
2ZPKM       212      XRAY        1.800    0.17    0.20
1KCUL       214      XRAY        2.200    0.20    0.25
3OKOA       219      XRAY        2.450    0.21    0.27
1YNLL       219      XRAY        1.700    0.21    0.24
3BZ4C       219      XRAY        1.800    0.18    0.23
1F4YL       210      XRAY        2.800    0.23    0.35
1JP5B       247      XRAY        2.700    0.26    0.29
3MLSL       219      XRAY        2.500    0.22    0.27
2NY5L       214      XRAY        2.500    0.20    0.26
1Q9WA       219      XRAY        1.750    0.21    0.25
3HI6L       212      XRAY        2.300    0.17    0.23
1L7TL       219      XRAY        2.100    0.21    0.28
3ESUF       250      XRAY        1.300    0.22    0.24
3Q1SL       212      XRAY        2.150    0.21    0.26
3UZVB       253      XRAY        2.100    0.21    0.21
1NL0L       213      XRAY        2.200    0.23    0.27
3U0TC       219      XRAY        2.500    0.22    0.27
1BREB       108      XRAY        2.000    0.22    0.34
3M8OL       219      XRAY        1.550    0.15    0.18
3TV3L       211      XRAY        1.290    0.16    0.18
3FO1A       219      XRAY        2.200    0.23    0.28
1UB6L       213      XRAY        2.120    0.26    0.29
1ND0E       219      XRAY        2.450    0.24    0.29
3CMOL       210      XRAY        2.300    0.25    0.29
4AEIN       219      XRAY        2.300    0.20    0.25
1S5HA       212      XRAY        2.200    0.23    0.24
1BBDL       220      XRAY        2.800    0.19    1.00
1DEEA       214      XRAY        2.700    0.23    0.28
3VG9B       214      XRAY        2.700    0.21    0.25
1OM3L       212      XRAY        2.200    0.23    0.27
3FZUL       214      XRAY        2.500    0.21    0.26
3GRWL       214      XRAY        2.100    0.19    0.23
2AJVL       216      XRAY        1.500    0.18    0.23
1XGRA       215      XRAY        2.100    0.25    0.30
4D9LO       215      XRAY        2.480    0.18    0.24
3T3PL       214      XRAY        2.200    0.19    0.22
1A3RL       220      XRAY        2.100    0.17    1.00
1OAZL       110      XRAY        2.780    0.21    0.28
1KFAM       217      XRAY        2.800    0.24    0.31
1C5DL       213      XRAY        2.400    0.20    0.30
1H8NA       252      XRAY        1.870    0.23    0.28
1JVKA       216      XRAY        1.940    0.22    0.25
2ITDB       212      XRAY        2.700    0.24    0.26
3MUGI       216      XRAY        2.490    0.21    0.25
1MHHC       220      XRAY        2.100    0.20    0.25
1CFSA       214      XRAY        2.750    0.23    0.33
1DN0A       215      XRAY        2.280    0.18    0.24
1ZA6E       220      XRAY        2.800    0.25    0.30
3LH2N       114      XRAY        2.650    0.22    0.27
2FJFE       214      XRAY        2.650    0.20    0.25
2OJZL       219      XRAY        2.730    0.20    0.26
3R06A       213      XRAY        2.500    0.19    0.24
3STZB       212      XRAY        2.500    0.25    0.28
3MCG2       216      XRAY        2.000    0.21    1.00
3LRSF       211      XRAY        2.370    0.21    0.26
2P7TB       212      XRAY        2.050    0.22    0.23
1CFQA       214      XRAY        2.800    0.22    0.31
2Q76C       212      XRAY        2.000    0.20    0.23
1NGYA       213      XRAY        2.200    0.23    0.27
1UYWN       212      XRAY        2.000    0.20    0.22
1JPTL       214      XRAY        1.850    0.18    0.23
3UZQA       253      XRAY        1.600    0.18    0.19
2YC1E       146      XRAY        1.900    0.19    0.21
1DZBB       253      XRAY        2.000    0.23    0.31
1EEQA       114      XRAY        1.500    0.21    0.24
1UZ8A       218      XRAY        1.800    0.21    0.25
2F19L       214      XRAY        2.800    0.18    1.00
2A9ML       110      XRAY        2.100    0.21    0.26
1CGSL       219      XRAY        2.600    0.22    1.00
1NSNL       218      XRAY        2.800    0.20    1.00
1OTSF       211      XRAY        2.510    0.26    0.30
3B2UL       213      XRAY        2.580    0.23    0.29
1NAKM       219      XRAY        2.570    0.29    0.33
2IMMA       114      XRAY        2.000    0.15    1.00
1RZ7L       212      XRAY        2.000    0.20    0.23
1T66C       219      XRAY        2.300    0.20    0.25
1KIPA       107      XRAY        2.100    0.16    1.00
1C5DA       213      XRAY        2.400    0.20    0.30
2BX5G       107      XRAY        2.700    0.25    0.29
3IDXL       215      XRAY        2.500    0.18    0.24
1W72M       210      XRAY        2.150    0.19    0.25
3IGAB       212      XRAY        2.750    0.24    0.27
3FO9A       219      XRAY        1.900    0.22    0.25
3CX5K       107      XRAY        1.900    0.24    0.26
2DQGL       107      XRAY        2.300    0.20    0.25
3R06L       213      XRAY        2.500    0.19    0.24
1I8MA       214      XRAY        2.100    0.23    0.26
1N0XM       215      XRAY        1.800    0.23    0.25
1AQKL       216      XRAY        1.840    0.18    1.00
2BX5J       107      XRAY        2.700    0.25    0.29
2DQFA       107      XRAY        2.500    0.22    0.27
1Q9OA       219      XRAY        1.790    0.22    0.25
1MCJB       216      XRAY        2.700    0.19    1.00
