IDs         length   Exptl.  resolution  R-factor FreeRvalue
1N64H       218      XRAY        2.340    0.22    0.24
1NL0H       224      XRAY        2.200    0.23    0.27
1IGMH       129      XRAY        2.300    0.20    1.00
1MAMH       217      XRAY        2.450    0.21    1.00
1U8QB       235      XRAY        2.240    0.23    0.24
1LO4H       220      XRAY        2.400    0.24    0.31
1AD0D       220      XRAY        2.500    0.21    0.26
2ZNWB       242      XRAY        2.710    0.20    0.25
1OAYH       122      XRAY        2.660    0.23    0.28
2FX9I       227      XRAY        2.100    0.24    0.27
1G7MB       116      XRAY        1.900    0.19    0.23
1A6TB       217      XRAY        2.700    0.17    0.27
3MLRH       226      XRAY        1.800    0.18    0.22
1CF8H       218      XRAY        2.700    0.17    0.26
1NMCH       122      XRAY        2.500    0.22    0.26
3H3PI       137      XRAY        2.700    0.23    0.29
1RZJH       229      XRAY        2.200    0.26    0.32
1RZFH       235      XRAY        1.700    0.20    0.23
3MNZB       219      XRAY        1.800    0.18    0.21
1I3GH       121      XRAY        2.440    0.17    0.24
3O2VH       227      XRAY        2.300    0.19    0.22
3CFKF       227      XRAY        2.600    0.22    0.24
1XFPA       142      XRAY        1.500    0.20    0.22
3T3PE       221      XRAY        2.200    0.19    0.22
2YSSB       113      XRAY        2.400    0.22    0.27
1UZ6F       217      XRAY        2.050    0.20    0.24
3QNXB       221      XRAY        2.200    0.18    0.22
3U2SA       248      XRAY        1.800    0.18    0.20
2D7TH       139      XRAY        1.700    0.19    0.21
3C6SF       217      XRAY        1.800    0.19    0.25
3SGDJ       217      XRAY        2.310    0.18    0.23
2FJFV       227      XRAY        2.650    0.20    0.25
3CFJD       227      XRAY        2.600    0.20    0.25
1C1EH       219      XRAY        1.900    0.26    0.29
3CLFH       220      XRAY        2.000    0.22    0.27
1U0QA       125      XRAY        1.600    0.22    0.25
3IDMB       237      XRAY        2.240    0.23    0.24
3PHOB       222      XRAY        2.600    0.22    0.28
3ESVF       252      XRAY        2.000    0.19    0.23
2JK5A       219      XRAY        2.400    0.20    0.25
2I60H       229      XRAY        2.400    0.21    0.28
2HRPH       226      XRAY        2.200    0.20    0.29
2PR4H       235      XRAY        2.050    0.24    0.27
3TCLH       237      XRAY        1.910    0.20    0.24
1XF5B       218      XRAY        2.600    0.20    0.24
4D9LK       223      XRAY        2.480    0.18    0.24
1HH9B       213      XRAY        2.700    0.28    0.33
2G2RB       219      XRAY        2.750    0.20    0.25
3MBXH       230      XRAY        1.600    0.21    0.23
2VDKH       221      XRAY        2.800    0.16    0.20
3QCUH       223      XRAY        1.980    0.22    0.25
2P42B       123      XRAY        1.800    0.17    0.21
12E8H       221      XRAY        1.900    0.22    0.27
1KB5H       219      XRAY        2.500    0.22    1.00
1KB9J       127      XRAY        2.300    0.22    0.25
3MCKB       228      XRAY        2.300    0.20    0.25
2I5YH       229      XRAY        2.200    0.21    0.27
1NC2B       221      XRAY        2.100    0.23    0.25
3NFSH       216      XRAY        2.600    0.23    0.28
1TZHB       229      XRAY        2.600    0.21    0.27
3NL4H       215      XRAY        1.540    0.23    0.29
4AEIJ       229      XRAY        2.300    0.20    0.25
1Q9OD       226      XRAY        1.790    0.22    0.25
3QSKB       123      XRAY        1.750    0.19    0.25
2EH8H       218      XRAY        2.600    0.19    0.26
1DQDH       222      XRAY        2.100    0.22    0.32
2BRRY       225      XRAY        1.950    0.20    0.24
1N7ML       216      XRAY        1.800    0.22    0.25
1CLOH       222      XRAY        2.100    0.21    1.00
1DBMH       219      XRAY        2.700    0.22    1.00
2QQKH       231      XRAY        2.750    0.19    0.24
2NXYD       229      XRAY        2.000    0.18    0.23
1KFAH       221      XRAY        2.800    0.24    0.31
2GSGB       118      XRAY        2.100    0.23    0.25
1XF3H       230      XRAY        2.300    0.21    0.24
1NGWH       216      XRAY        2.600    0.28    0.32
1OL0B       121      XRAY        1.800    0.16    0.18
1R3LB       219      XRAY        2.410    0.22    0.25
1W72I       223      XRAY        2.150    0.19    0.25
3LRSH       238      XRAY        2.370    0.21    0.26
1P4BH       124      XRAY        2.350    0.23    0.30
3B9VD       120      XRAY        1.800    0.16    0.20
1NJ9B       215      XRAY        2.350    0.20    0.28
2NY7H       230      XRAY        2.300    0.20    0.26
1NC4D       221      XRAY        2.250    0.26    0.25
3AUVE       276      XRAY        2.400    0.22    0.25
1FVCD       120      XRAY        2.200    0.18    1.00
7FABH       217      XRAY        2.000    0.17    1.00
3QQ9H       227      XRAY        1.640    0.17    0.22
1INEH       226      XRAY        2.800    0.18    1.00
1JHLH       116      XRAY        2.400    0.21    1.00
2X1QA       127      XRAY        1.060    0.21    0.23
2VYRE       153      XRAY        2.000    0.21    0.25
4D9LH       223      XRAY        2.480    0.18    0.24
3K3QA       151      XRAY        2.600    0.22    0.26
2H9GH       228      XRAY        2.320    0.23    0.28
1G7LB       116      XRAY        2.000    0.21    0.24
1TQBB       212      XRAY        2.550    0.22    0.27
3IFOH       226      XRAY        2.150    0.17    0.22
1OTSE       222      XRAY        2.510    0.26    0.30
3QG6B       213      XRAY        2.500    0.19    0.24
1RURH       218      XRAY        1.500    0.19    0.24
2FJFB       227      XRAY        2.650    0.20    0.25
3ET9F       252      XRAY        2.800    0.22    0.26
2FJGB       227      XRAY        2.800    0.21    0.24
1OAXH       122      XRAY        2.670    0.24    0.28
2W0FA       219      XRAY        2.400    0.20    0.24
1SBSH       222      XRAY        2.000    0.18    0.24
1KTRH       114      XRAY        2.700    0.19    0.22
1FVED       223      XRAY        2.700    0.17    1.00
3QOTH       228      XRAY        1.900    0.20    0.25
1XGYH       219      XRAY        2.710    0.28    0.27
3JWDP       220      XRAY        2.610    0.20    0.28
3QO0B       220      XRAY        2.300    0.17    0.22
3L7FH       224      XRAY        2.600    0.21    0.24
1LO3Y       220      XRAY        2.300    0.21    0.26
3IDNB       237      XRAY        2.250    0.22    0.24
1NDGB       210      XRAY        1.900    0.21    0.25
2FJFK       227      XRAY        2.650    0.20    0.25
3R06F       216      XRAY        2.500    0.19    0.24
1KN4H       222      XRAY        1.900    0.21    0.25
1Q9LB       222      XRAY        2.280    0.22    0.29
1YJDH       222      XRAY        2.700    0.24    0.28
3K80A       130      XRAY        2.400    0.23    0.28
2A6JB       222      XRAY        2.700    0.23    0.27
2QSCH       222      XRAY        2.800    0.22    0.26
3NIDH       221      XRAY        2.300    0.18    0.21
1U8KB       234      XRAY        2.240    0.21    0.25
3QHZI       232      XRAY        1.550    0.18    0.21
1QBLH       219      XRAY        2.260    0.19    0.28
1U8HB       235      XRAY        2.100    0.22    0.24
1JPTH       225      XRAY        1.850    0.18    0.23
1SHMD       127      XRAY        1.900    0.19    0.24
1A3RH       218      XRAY        2.100    0.17    1.00
3INUH       226      XRAY        2.500    0.20    0.25
3GI8H       223      XRAY        2.590    0.26    0.31
1F4YH       216      XRAY        2.800    0.23    0.35
3B2UQ       223      XRAY        2.580    0.23    0.29
1EAPB       216      XRAY        2.400    0.19    1.00
3QXWA       126      XRAY        1.850    0.19    0.24
3BKYH       226      XRAY        2.610    0.24    0.30
1AQKH       226      XRAY        1.840    0.18    1.00
3SGEH       217      XRAY        1.890    0.18    0.21
2FJFX       227      XRAY        2.650    0.20    0.25
1SM3H       218      XRAY        1.950    0.21    0.28
3FCTD       216      XRAY        2.400    0.21    0.29
2OTUH       118      XRAY        1.680    0.20    0.21
3MACH       245      XRAY        2.500    0.20    0.26
1UWGY       225      XRAY        2.790    0.21    0.28
2Z91A       218      XRAY        2.600    0.22    0.27
1F90H       220      XRAY        2.600    0.17    0.24
3L5XH       224      XRAY        1.900    0.21    0.25
1KIQB       116      XRAY        1.850    0.18    1.00
1RUMH       222      XRAY        1.480    0.17    0.24
3VG0H       223      XRAY        2.270    0.19    0.26
1ZA6F       344      XRAY        2.800    0.25    0.30
3QNYD       221      XRAY        2.300    0.19    0.22
3NZHH       226      XRAY        2.000    0.20    0.24
2XQBH       236      XRAY        2.600    0.25    0.32
1SHMB       127      XRAY        1.900    0.19    0.24
3OGOE       123      XRAY        2.800    0.20    0.25
3STBA       132      XRAY        2.500    0.20    0.23
1U91B       235      XRAY        2.240    0.23    0.23
2QHRH       222      XRAY        2.000    0.20    0.24
1A2YB       116      XRAY        1.500    0.20    0.25
3B2UH       223      XRAY        2.580    0.23    0.29
1BVKB       117      XRAY        2.700    0.21    0.30
1NQBC       256      XRAY        2.000    0.19    0.23
1ORSB       221      XRAY        1.900    0.23    0.25
3KYMB       227      XRAY        2.620    0.27    0.34
1ZEAH       216      XRAY        1.780    0.20    0.25
3O6MH       219      XRAY        2.400    0.21    0.29
3MLWH       228      XRAY        2.700    0.22    0.29
3MUGF       241      XRAY        2.490    0.21    0.25
3UTZB       225      XRAY        2.180    0.23    0.29
4D9QE       217      XRAY        2.280    0.19    0.23
1N0XK       230      XRAY        1.800    0.23    0.25
1MNUH       225      XRAY        2.500    0.23    0.27
2OTWD       118      XRAY        2.350    0.23    0.26
1AI1H       221      XRAY        2.800    0.22    1.00
1Y18B       226      XRAY        2.800    0.22    0.25
3MLSJ       226      XRAY        2.500    0.22    0.27
4D9RH       218      XRAY        2.420    0.21    0.25
3MO1B       219      XRAY        1.800    0.19    0.22
1FN4D       218      XRAY        2.800    0.20    0.29
1GIGH       221      XRAY        2.300    0.20    1.00
3GIZH       222      XRAY        2.200    0.20    0.25
1FL3A       208      XRAY        2.450    0.10    0.26
2P46B       123      XRAY        2.500    0.23    0.30
3LEXA       221      XRAY        1.970    0.17    0.20
3B9VA       120      XRAY        1.800    0.16    0.20
3MXWH       220      XRAY        1.830    0.18    0.22
1JTTA       133      XRAY        2.100    0.18    0.20
2BRRH       225      XRAY        1.950    0.20    0.24
3RVXD       255      XRAY        2.500    0.18    0.23
12E8P       221      XRAY        1.900    0.22    0.27
1RFDH       223      XRAY        2.090    0.18    0.23
1OAXK       122      XRAY        2.670    0.24    0.28
3MNWB       219      XRAY        2.200    0.19    0.25
2XZAH       222      XRAY        1.500    0.17    0.21
2F19H       221      XRAY        2.800    0.18    1.00
1GGIH       222      XRAY        2.800    0.19    1.00
3LEVH       237      XRAY        2.500    0.21    0.25
1H8SB       252      XRAY        2.400    0.20    0.27
3EOAB       220      XRAY        2.800    0.23    0.26
1LK3H       219      XRAY        1.910    0.19    0.24
1Q9OB       226      XRAY        1.790    0.22    0.25
1MELA       148      XRAY        2.500    0.22    0.32
2Q8BH       210      XRAY        2.300    0.21    0.26
3FN0H       231      XRAY        1.800    0.21    0.25
1EO8H       217      XRAY        2.800    0.20    0.30
1XF2B       230      XRAY        2.300    0.20    0.24
1XGUB       210      XRAY        2.100    0.22    0.24
2R2BB       222      XRAY        1.600    0.23    0.25
1H8OB       252      XRAY        2.750    0.18    0.26
1A7RH       116      XRAY        2.010    0.17    1.00
1NLBH       218      XRAY        1.600    0.20    0.21
1IGTB       444      XRAY        2.800    0.21    0.30
3UX9D       256      XRAY        2.800    0.19    0.24
2ATKA       219      XRAY        2.500    0.24    0.26
1BLND       218      XRAY        2.800    0.21    0.29
1Y18H       226      XRAY        2.800    0.22    0.25
3QEHG       232      XRAY        2.590    0.22    0.25
3D85B       223      XRAY        1.900    0.17    0.21
1CK0H       219      XRAY        2.500    0.19    0.29
1UYWH       218      XRAY        2.000    0.20    0.22
1BFOF       216      XRAY        2.600    0.19    0.26
3DV6B       121      XRAY        1.950    0.23    0.30
1Q0XH       221      XRAY        1.600    0.22    0.25
2GHWB       247      XRAY        2.300    0.25    0.29
1FL5H       219      XRAY        2.100    0.24    0.27
1XIWH       122      XRAY        1.900    0.21    0.24
2R23B       224      XRAY        1.650    0.23    0.26
3IFNH       222      XRAY        1.500    0.19    0.21
3CFJB       227      XRAY        2.600    0.20    0.25
3U30F       227      XRAY        2.430    0.23    0.26
1N4XH       120      XRAY        1.700    0.23    0.26
2FJFT       227      XRAY        2.650    0.20    0.25
1KIRB       116      XRAY        2.000    0.17    1.00
1RU9H       222      XRAY        2.500    0.19    0.25
2XZCH       222      XRAY        1.360    0.16    0.19
1NBYB       210      XRAY        1.800    0.22    0.25
2IPUG       226      XRAY        1.650    0.18    0.23
1FE8I       210      XRAY        2.030    0.23    0.26
1P4IH       124      XRAY        2.800    0.20    0.26
2DQHH       114      XRAY        2.300    0.21    0.26
2HFEA       219      XRAY        2.250    0.23    0.25
3O41A       220      XRAY        1.950    0.18    0.22
2Y6SD       213      XRAY        2.800    0.24    0.29
3O2DH       225      XRAY        2.190    0.19    0.22
1QOKA       282      XRAY        2.400    0.20    0.27
3GJFM       220      XRAY        1.900    0.20    0.25
1OAUJ       122      XRAY        1.800    0.23    0.26
3NGBJ       224      XRAY        2.680    0.20    0.26
2X89B       128      XRAY        2.160    0.24    0.27
3H42H       238      XRAY        2.300    0.19    0.21
3I75B       225      XRAY        1.950    0.18    0.21
2DWEA       219      XRAY        2.500    0.24    0.27
2HMID       220      XRAY        2.800    0.27    0.35
3LRSC       238      XRAY        2.370    0.21    0.26
1AY1H       213      XRAY        2.200    0.20    0.29
1MJ7H       228      XRAY        2.250    0.20    0.30
1NC2D       221      XRAY        2.100    0.23    0.25
2QQNH       230      XRAY        2.200    0.16    0.21
1TJGH       237      XRAY        2.000    0.20    0.23
1BQLH       215      XRAY        2.600    0.19    0.29
1AD0B       220      XRAY        2.500    0.21    0.26
1MREH       215      XRAY        2.300    0.19    1.00
3Q3GB       224      XRAY        2.700    0.21    0.24
3MLYI       230      XRAY        1.700    0.18    0.21
1K4DA       219      XRAY        2.300    0.22    0.23
1IKFH       228      XRAY        2.500    0.16    1.00
2DD8H       245      XRAY        2.300    0.20    0.26
1RHHB       239      XRAY        1.900    0.22    0.23
2XKND       216      XRAY        1.400    0.14    0.18
3KS0K       225      XRAY        2.700    0.22    0.29
1IGCH       222      XRAY        2.600    0.17    1.00
3DIFD       229      XRAY        2.400    0.22    0.29
3OAUH       225      XRAY        1.900    0.21    0.24
1NC4B       221      XRAY        2.250    0.26    0.25
1L7TH       221      XRAY        2.100    0.21    0.28
3A6BH       114      XRAY        1.800    0.19    0.22
1UWXH       225      XRAY        2.200    0.23    0.27
3GI9H       223      XRAY        2.480    0.25    0.30
3FO1H       229      XRAY        2.200    0.23    0.28
2P49B       123      XRAY        1.380    0.16    0.18
3T2NI       225      XRAY        2.550    0.24    0.28
3OKMB       222      XRAY        2.400    0.23    0.31
43CAD       117      XRAY        2.300    0.21    0.26
3RKDH       230      XRAY        1.900    0.19    0.22
1I8MH       224      XRAY        2.100    0.23    0.26
3MNVB       219      XRAY        2.400    0.18    0.23
1IGFJ       221      XRAY        2.800    0.18    1.00
1OHQA       120      XRAY        2.000    0.18    0.26
1FNSH       225      XRAY        2.000    0.17    0.21
3DUUD       121      XRAY        1.950    0.20    0.22
1RUPH       222      XRAY        1.400    0.16    0.21
2B1AH       226      XRAY        2.350    0.21    0.24
2YBRD       117      XRAY        2.550    0.20    0.25
3EO9H       219      XRAY        1.800    0.19    0.22
1ND0F       222      XRAY        2.450    0.24    0.29
3PNWT       246      XRAY        2.050    0.22    0.26
1S3KH       222      XRAY        1.900    0.20    0.24
1JHKH       218      XRAY        2.510    0.23    0.26
3O11B       228      XRAY        2.800    0.22    0.30
3HZYB       226      XRAY        2.100    0.22    0.26
3CFIC       116      XRAY        2.580    0.23    0.28
3G5XD       216      XRAY        2.300    0.23    0.29
3OKDB       222      XRAY        1.800    0.23    0.28
2X1OB       122      XRAY        1.340    0.21    0.24
2VYRH       153      XRAY        2.000    0.21    0.25
2P48B       123      XRAY        2.300    0.25    0.30
1EZVX       127      XRAY        2.300    0.22    0.25
1INDH       226      XRAY        2.200    0.19    1.00
1AXSH       221      XRAY        2.600    0.20    0.30
3OAYH       224      XRAY        1.950    0.18    0.22
1AXTH       218      XRAY        2.150    0.21    0.32
1JTPA       148      XRAY        1.900    0.18    0.23
3MLTE       226      XRAY        2.490    0.21    0.28
1TPXB       212      XRAY        2.560    0.22    0.28
1F4XH       216      XRAY        2.300    0.18    0.25
3EFDH       222      XRAY        2.600    0.23    0.28
3STZA       219      XRAY        2.500    0.25    0.28
1CLYH       219      XRAY        2.500    0.24    0.30
1UM4H       217      XRAY        1.800    0.22    0.25
1AP2D       123      XRAY        2.360    0.20    0.28
1P2CE       218      XRAY        2.000    0.20    0.24
2FJFI       227      XRAY        2.650    0.20    0.25
1WT5A       127      XRAY        2.100    0.27    0.30
3QXUB       126      XRAY        1.800    0.18    0.21
3FFDA       218      XRAY        2.000    0.22    0.27
1VPOH       221      XRAY        2.150    0.21    0.27
3AUVA       276      XRAY        2.400    0.22    0.25
3HNTH       220      XRAY        1.800    0.20    0.26
3JWDH       220      XRAY        2.610    0.20    0.28
3B2UJ       223      XRAY        2.580    0.23    0.29
1YECH       222      XRAY        1.900    0.21    0.25
3NIFH       221      XRAY        2.400    0.18    0.22
3EOAH       220      XRAY        2.800    0.23    0.26
1XIWD       122      XRAY        1.900    0.21    0.24
2FJFD       227      XRAY        2.650    0.20    0.25
3QXUC       126      XRAY        1.800    0.18    0.21
3IDJB       237      XRAY        2.240    0.23    0.23
2FX8K       227      XRAY        2.200    0.23    0.28
3GHEH       233      XRAY        2.400    0.19    0.24
1MHHD       217      XRAY        2.100    0.20    0.25
3NGBB       224      XRAY        2.680    0.20    0.26
3GBMI       226      XRAY        2.700    0.21    0.26
1CFVH       119      XRAY        2.100    0.18    0.25
1TQCB       212      XRAY        2.800    0.23    0.29
3QXTB       126      XRAY        1.700    0.18    0.20
1NGXH       216      XRAY        1.800    0.23    0.25
3IETB       218      XRAY        2.200    0.23    0.27
2GK0B       221      XRAY        2.450    0.24    0.26
1NCCH       221      XRAY        2.500    0.21    1.00
2ZKHH       217      XRAY        2.040    0.20    0.23
1YY9D       221      XRAY        2.600    0.24    0.29
1KEGH       220      XRAY        2.400    0.21    0.27
1KEMH       218      XRAY        2.200    0.18    0.29
1YY8B       221      XRAY        2.000    0.22    0.26
3NIGH       221      XRAY        2.250    0.17    0.21
3KDMH       225      XRAY        1.500    0.18    0.21
2EH7H       218      XRAY        2.500    0.21    0.25
3GHBI       235      XRAY        2.250    0.20    0.23
1E4XI       217      XRAY        1.900    0.24    0.31
2VXSH       225      XRAY        2.630    0.21    0.26
2NY0D       229      XRAY        2.200    0.20    0.24
3E8UH       217      XRAY        2.100    0.19    0.24
1JV5B       117      XRAY        2.200    0.24    0.22
2DQDH       114      XRAY        1.800    0.19    0.21
3T3PH       221      XRAY        2.200    0.19    0.22
3MUGD       241      XRAY        2.490    0.21    0.25
3QG6H       213      XRAY        2.500    0.19    0.24
2FJFN       227      XRAY        2.650    0.20    0.25
2X89A       128      XRAY        2.160    0.24    0.27
2VXSI       225      XRAY        2.630    0.21    0.26
3IDGB       237      XRAY        1.860    0.22    0.23
2ADIB       222      XRAY        2.800    0.27    0.27
2HG5A       219      XRAY        2.750    0.24    0.27
1TZGH       232      XRAY        2.200    0.22    0.26
1OM3K       225      XRAY        2.200    0.23    0.27
1ZLVH       224      XRAY        2.330    0.21    0.25
2VDPH       221      XRAY        2.800    0.16    0.20
1ND0B       222      XRAY        2.450    0.24    0.29
3MNVD       219      XRAY        2.400    0.18    0.23
8FABD       224      XRAY        1.800    0.17    1.00
3QXVB       126      XRAY        2.500    0.23    0.28
1J1XH       114      XRAY        1.800    0.19    0.22
1KXTB       127      XRAY        2.000    0.20    0.24
1JP5B       247      XRAY        2.700    0.26    0.29
2FJFR       227      XRAY        2.650    0.20    0.25
3ESUF       250      XRAY        1.300    0.22    0.24
2R1WB       222      XRAY        1.700    0.22    0.25
3UZVB       253      XRAY        2.100    0.21    0.21
3HC0A       217      XRAY        1.900    0.18    0.21
3Q3GK       224      XRAY        2.700    0.21    0.24
2OTUF       118      XRAY        1.680    0.20    0.21
1KELH       218      XRAY        1.900    0.20    0.26
3DUUB       121      XRAY        1.950    0.20    0.22
3UTZC       225      XRAY        2.180    0.23    0.29
3Q3GH       224      XRAY        2.700    0.21    0.24
2P47B       123      XRAY        2.500    0.23    0.29
3EYVB       222      XRAY        2.500    0.21    0.26
2VXUI       216      XRAY        2.360    0.19    0.24
1JN6B       218      XRAY        2.700    0.25    0.30
1BJ1H       231      XRAY        2.400    0.20    0.27
3R1GH       222      XRAY        2.800    0.22    0.27
1ETZH       228      XRAY        2.600    0.21    0.29
1H8NA       252      XRAY        1.870    0.23    0.28
1XF4B       230      XRAY        2.500    0.19    0.22
2NY3D       229      XRAY        2.000    0.20    0.24
1I3VA       129      XRAY        2.030    0.21    0.25
2IH3A       219      XRAY        1.720    0.23    0.24
2ADFH       218      XRAY        1.900    0.19    0.22
1PZ5B       220      XRAY        1.800    0.22    0.25
3OR7A       219      XRAY        2.300    0.26    0.27
2VYRI       153      XRAY        2.000    0.21    0.25
2J88H       191      XRAY        2.600    0.21    0.25
3CXHU       127      XRAY        2.500    0.23    0.26
3U2SH       248      XRAY        1.800    0.18    0.20
3PNWE       246      XRAY        2.050    0.22    0.26
3U7YH       229      XRAY        2.450    0.21    0.26
1A6VH       120      XRAY        1.800    0.30    1.00
1A7QH       116      XRAY        2.000    0.18    1.00
3QPQH       223      XRAY        1.900    0.20    0.26
3UC0H       236      XRAY        2.710    0.22    0.25
3CMOY       222      XRAY        2.300    0.25    0.29
2EIZB       113      XRAY        1.900    0.21    0.25
3MLVN       226      XRAY        2.480    0.24    0.34
1A4JH       219      XRAY        2.100    0.23    0.29
1BVKE       117      XRAY        2.700    0.21    0.30
1YC7A       124      XRAY        1.600    0.19    0.21
3UZQA       253      XRAY        1.600    0.18    0.19
1NFDF       222      XRAY        2.800    0.24    0.31
1MLCB       218      XRAY        2.500    0.18    0.28
1DZBB       253      XRAY        2.000    0.23    0.31
3HR5I       226      XRAY        2.400    0.21    0.25
2BMKH       226      XRAY        2.300    0.21    0.27
3O6KH       219      XRAY        2.000    0.20    0.25
1U0QB       125      XRAY        1.600    0.22    0.25
2W9DH       215      XRAY        1.570    0.18    0.22
2OQJE       224      XRAY        2.800    0.24    0.28
3L7FE       224      XRAY        2.600    0.21    0.24
2W60A       218      XRAY        1.500    0.17    0.22
3BN9D       257      XRAY        2.170    0.23    0.27
2AJSH       219      XRAY        1.700    0.21    0.23
1CBVH       219      XRAY        2.660    0.19    1.00
2Q8AH       210      XRAY        2.400    0.20    0.24
25C8H       217      XRAY        2.000    0.23    0.29
1P84J       127      XRAY        2.500    0.23    0.25
2EKSB       113      XRAY        2.000    0.22    0.27
1HQ4D       218      XRAY        2.700    0.23    0.27
3C2AH       231      XRAY        2.100    0.24    0.30
3G5ZB       217      XRAY        2.600    0.22    0.30
3GO1H       222      XRAY        1.890    0.19    0.21
2G2RH       219      XRAY        2.750    0.20    0.25
3C08H       223      XRAY        2.150    0.23    0.26
2I60R       229      XRAY        2.400    0.21    0.28
4AEHH       231      XRAY        1.600    0.18    0.21
3F58H       228      XRAY        2.800    0.20    1.00
2W65A       218      XRAY        2.210    0.24    0.28
3L5WB       230      XRAY        2.000    0.21    0.25
3RVUD       255      XRAY        2.500    0.21    0.27
1RIUH       223      XRAY        2.000    0.18    0.21
2P46D       123      XRAY        2.500    0.23    0.30
2UYLB       221      XRAY        2.500    0.21    0.26
2CK0H       219      XRAY        2.200    0.20    0.30
3H0TB       237      XRAY        1.890    0.20    0.25
3EYFB       242      XRAY        2.300    0.21    0.23
1DL7H       112      XRAY        2.350    0.19    0.27
3NA9H       225      XRAY        1.700    0.17    0.20
3NH7J       234      XRAY        2.700    0.24    0.28
2AJZB       219      XRAY        2.300    0.24    0.28
3L95H       227      XRAY        2.190    0.23    0.27
1QYGH       223      XRAY        1.810    0.19    0.22
1PG7I       217      XRAY        2.500    0.22    0.27
3DETC       221      XRAY        2.800    0.26    0.30
3G5XB       216      XRAY        2.300    0.23    0.29
3P9WB       123      XRAY        2.410    0.20    0.23
3IF1B       217      XRAY        2.390    0.23    0.28
1SVZA       247      XRAY        1.890    0.20    0.24
1ZLUH       224      XRAY        2.750    0.22    0.29
3OKOB       222      XRAY        2.450    0.21    0.27
2AI0H       224      XRAY        2.200    0.23    0.28
1KXQF       120      XRAY        1.600    0.20    0.22
3GM0A       257      XRAY        2.400    0.21    0.27
1C5BH       215      XRAY        2.100    0.19    0.24
1UB5H       209      XRAY        2.000    0.25    0.27
3QYCB       146      XRAY        1.600    0.21    0.23
1FJ1D       213      XRAY        2.680    0.23    0.28
2DWDA       219      XRAY        2.600    0.24    0.26
3DIFB       229      XRAY        2.400    0.22    0.29
1G9MH       229      XRAY        2.200    0.27    0.33
1TJIH       237      XRAY        2.200    0.18    0.22
1CE1H       220      XRAY        1.900    0.22    0.27
3I2CH       222      XRAY        2.800    0.20    0.23
1M71B       220      XRAY        2.800    0.22    0.29
1MLCD       218      XRAY        2.500    0.18    0.28
1SY6H       219      XRAY        2.100    0.21    0.26
2AI0J       224      XRAY        2.200    0.23    0.28
3GJFH       220      XRAY        1.900    0.20    0.25
2WZPF       123      XRAY        2.600    0.18    0.21
2C1PH       217      XRAY        2.000    0.23    0.28
2FATH       214      XRAY        1.770    0.24    0.27
1UACH       114      XRAY        1.700    0.15    0.25
1GGBH       215      XRAY        2.800    0.20    1.00
2X1PA       127      XRAY        1.100    0.20    0.22
3L1OH       227      XRAY        2.000    0.16    0.25
2UYLN       221      XRAY        2.500    0.21    0.26
1IT9H       219      XRAY        2.800    0.20    0.28
3IDIB       237      XRAY        2.100    0.21    0.23
2D03H       223      XRAY        1.970    0.22    0.26
2IPTH       223      XRAY        2.000    0.18    0.22
1GHFH       212      XRAY        2.700    0.21    1.00
3JUYA       256      XRAY        2.500    0.20    0.26
